Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I6_15,*,ALL,*,QUAL,*,0.993791,0.997209,0.59134,0.995497,14,43,2809068885,2546949881.000000,0.000000,24802,.,.,11797.000000,6468.000000,,1.8239022881880025,24648,.,.,11716.000000,6458.000000,,1.8141839578816972,154,.,.,81.000000,10.000000,,8.1,60505,.,.,27908.000000,14271.000000,,1.9555742414687127,24657,.,.,11830.000000,6460.000000,,1.8312693498452013,69,.,.,34.000000,24.000000,,1.4166666666666667,35779,.,.,16044.000000,7787.000000,,2.0603570052651854
INDEL,I6_15,*,PASS,*,QUAL,*,0.993791,0.997209,0.590961,0.995497,14,43,2809068885,2546949881.000000,0.000000,24802,.,.,11797.000000,6468.000000,,1.8239022881880025,24648,.,.,11716.000000,6458.000000,,1.8141839578816972,154,.,.,81.000000,10.000000,,8.1,60449,.,.,27894.000000,14251.000000,,1.9573363272752788,24657,.,.,11830.000000,6460.000000,,1.8312693498452013,69,.,.,34.000000,24.000000,,1.4166666666666667,35723,.,.,16030.000000,7767.000000,,2.0638599201750996
INDEL,I6_15,TS_boundary,ALL,*,QUAL,*,0.8863639999999999,0.9047620000000001,0.941586,0.895468,0,0,3148273288.000000,2546949881.000000,0.000000,44,.,.,24.000000,16.000000,,1.5,39,.,.,20.000000,15.000000,,1.3333333333333333,5,.,.,4.000000,1.000000,,4.0,719,.,.,378.000000,152.000000,,2.486842105263158,38,.,.,19.000000,15.000000,,1.2666666666666666,4,.,.,3.000000,1.000000,,3.0,677,.,.,356.000000,136.000000,,2.6176470588235294
INDEL,I6_15,TS_boundary,PASS,*,QUAL,*,0.8863639999999999,0.9047620000000001,0.941586,0.895468,0,0,3148273288.000000,2546949881.000000,0.000000,44,.,.,24.000000,16.000000,,1.5,39,.,.,20.000000,15.000000,,1.3333333333333333,5,.,.,4.000000,1.000000,,4.0,719,.,.,378.000000,152.000000,,2.486842105263158,38,.,.,19.000000,15.000000,,1.2666666666666666,4,.,.,3.000000,1.000000,,3.0,677,.,.,356.000000,136.000000,,2.6176470588235294
INDEL,I6_15,TS_contained,ALL,*,QUAL,*,0.9939819999999999,0.997367,0.0,0.9956709999999999,14,43,2546949881.000000,2546949881.000000,0.000000,24758,.,.,11773.000000,6452.000000,,1.82470551766894,24609,.,.,11696.000000,6443.000000,,1.8153034300791557,149,.,.,77.000000,9.000000,,8.555555555555555,24684,.,.,11842.000000,6468.000000,,1.8308596165739024,24619,.,.,11811.000000,6445.000000,,1.8325833979829325,65,.,.,31.000000,23.000000,,1.3478260869565217,0,.,.,0.000000,0.000000,,
INDEL,I6_15,TS_contained,PASS,*,QUAL,*,0.9939819999999999,0.997367,0.0,0.9956709999999999,14,43,2546949881.000000,2546949881.000000,0.000000,24758,.,.,11773.000000,6452.000000,,1.82470551766894,24609,.,.,11696.000000,6443.000000,,1.8153034300791557,149,.,.,77.000000,9.000000,,8.555555555555555,24684,.,.,11842.000000,6468.000000,,1.8308596165739024,24619,.,.,11811.000000,6445.000000,,1.8325833979829325,65,.,.,31.000000,23.000000,,1.3478260869565217,0,.,.,0.000000,0.000000,,
SNP,*,*,ALL,*,QUAL,*,0.997603,0.9992629999999999,0.134739,0.998432,1198,103,2809068885,2546949881.000000,0.000000,3365115,2280133.000000,1085711.000000,2060752.000000,1303287.000000,2.1001288556531157,1.5811958532541182,3357048,2274823.000000,1082948.000000,2054685.000000,1301293.000000,2.1005837768757134,1.5789564686815345,8067,5310.000000,2763.000000,6067.000000,1994.000000,1.9218241042345277,3.042627883650953,3883817,2583153.000000,1302154.000000,2363840.000000,1517713.000000,1.9837538417115026,1.5575013194194158,3358040,2275216.000000,1083545.000000,2055777.000000,1301195.000000,2.0997891181261505,1.5799146169482667,2477,1633.000000,846.000000,1934.000000,541.000000,1.9302600472813238,3.574861367837338,523300,306304.000000,217763.000000,306129.000000,215977.000000,1.4065934065934067,1.4174148173185108
SNP,*,*,PASS,*,QUAL,*,0.9975450000000001,0.999276,0.132,0.99841,1168,101,2809068885,2546949881.000000,0.000000,3365115,2280133.000000,1085711.000000,2060752.000000,1303287.000000,2.1001288556531157,1.5811958532541182,3356853,2274692.000000,1082884.000000,2054647.000000,1301136.000000,2.1005869511415813,1.5791177863036607,8262,5441.000000,2827.000000,6105.000000,2151.000000,1.9246551114255395,2.838214783821478,3871287,2577216.000000,1295483.000000,2362036.000000,1507109.000000,1.9893861980435097,1.5672628854316444,3357845,2275085.000000,1083481.000000,2055739.000000,1301038.000000,2.099792243703397,1.5800760623440668,2433,1607.000000,827.000000,1903.000000,529.000000,1.94316807738815,3.597353497164461,511009,300524.000000,211175.000000,304394.000000,205542.000000,1.4231040606132355,1.4809333372254818
SNP,*,TS_boundary,ALL,*,QUAL,*,0.964635,0.9908549999999999,0.508609,0.977569,35,8,3148273288.000000,2546949881.000000,0.000000,12696,8893.000000,3818.000000,7755.000000,4924.000000,2.329229963331587,1.5749390739236393,12247,8609.000000,3651.000000,7423.000000,4809.000000,2.3579841139413857,1.54356415055105,449,284.000000,167.000000,332.000000,115.000000,1.7005988023952097,2.8869565217391306,25147,16873.000000,8302.000000,15136.000000,9975.000000,2.0324018308841243,1.517393483709273,12244,8608.000000,3649.000000,7422.000000,4807.000000,2.3590024664291587,1.5439983357603495,113,71.000000,42.000000,88.000000,25.000000,1.6904761904761905,3.52,12790,8194.000000,4611.000000,7626.000000,5143.000000,1.7770548687920191,1.4827921446626482
SNP,*,TS_boundary,PASS,*,QUAL,*,0.964083,0.9911709999999999,0.508754,0.97744,32,8,3148273288.000000,2546949881.000000,0.000000,12696,8893.000000,3818.000000,7755.000000,4924.000000,2.329229963331587,1.5749390739236393,12240,8604.000000,3649.000000,7423.000000,4802.000000,2.3579062756919704,1.545814244064973,456,289.000000,169.000000,332.000000,122.000000,1.7100591715976332,2.721311475409836,25132,16863.000000,8297.000000,15131.000000,9965.000000,2.0324213571170304,1.5184144505770196,12237,8603.000000,3647.000000,7422.000000,4800.000000,2.3589251439539347,1.54625,109,68.000000,41.000000,84.000000,25.000000,1.6585365853658536,3.36,12786,8192.000000,4609.000000,7625.000000,5140.000000,1.7773920590149708,1.4834630350194553
SNP,*,TS_contained,ALL,*,QUAL,*,0.9977280000000001,0.999294,0.0,0.99851,1163,95,2546949881.000000,2546949881.000000,0.000000,3352419,2271240.000000,1081893.000000,2052997.000000,1298363.000000,2.099320357928187,1.5812195818888863,3344801,2266214.000000,1079297.000000,2047262.000000,1296484.000000,2.099713053960124,1.579087748094076,7618,5026.000000,2596.000000,5735.000000,1879.000000,1.936055469953775,3.052155401809473,3348160,2268170.000000,1080700.000000,2050201.000000,1296904.000000,2.098797075969279,1.580842529593555,3345796,2266608.000000,1079896.000000,2048355.000000,1296388.000000,2.0989132286812806,1.580047794333178,2364,1562.000000,804.000000,1846.000000,516.000000,1.9427860696517414,3.5775193798449614,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,TS_contained,PASS,*,QUAL,*,0.9976719999999999,0.9993059999999999,0.0,0.9984879999999999,1136,93,2546949881.000000,2546949881.000000,0.000000,3352419,2271240.000000,1081893.000000,2052997.000000,1298363.000000,2.099320357928187,1.5812195818888863,3344613,2266088.000000,1079235.000000,2047224.000000,1296334.000000,2.09971692912109,1.57924115235734,7806,5152.000000,2658.000000,5773.000000,2029.000000,1.9382994732881866,2.8452439625431247,3347932,2268021.000000,1080620.000000,2050136.000000,1296742.000000,2.098814569413855,1.5809898962168265,3345608,2266482.000000,1079834.000000,2048317.000000,1296238.000000,2.0989170557696832,1.5802013210536954,2324,1539.000000,786.000000,1819.000000,504.000000,1.9580152671755726,3.609126984126984,0,0.000000,0.000000,0.000000,0.000000,,
